index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1,2000,"1,10,000 kms",Fourth & Above Owner,Petrol,Automatic,Bangalore,"48,000*",Hyundai,0.0 kmpl,999 CC,null,,5,,,,Power,,,,,5,4,4,null,null
2,2007,"90,000 kms",Third Owner,Petrol,Manual,Bangalore,"60,000*",Maruti,16.1 kmpl,796 CC,37bhp,5000rpm,4,,4 Speed,FWD,Manual,Disc,Drum,144km/hr,21 Seconds,4,3,2,SOHC,MPFI
3,2002,"1,15,000 kms",Second Owner,Petrol,Manual,Bangalore,"85,000*",Maruti,16.1 kmpl,796 CC,37bhp,5000rpm,4,Blue,4 Speed,FWD,Manual,Disc,Drum,144km/hr,21 seconds,4,3,2,SOHC,MPFI
4,2000,"25,000 kms",First Owner,Petrol,Manual,Bangalore,"90,000*",Mitsubishi,13.7 kmpl,1468 CC,85.8bhp,5500rpm,5,,5 Speed,FWD,Power,Ventilated Disc,Drum,175km/hr,12.95 seconds,4,4,3,SOHC,MPFI
5,2004,"20,000 kms",Second Owner,Petrol,Manual,Bangalore,1.05 Lakh*,Ford,14.2 kmpl,1597 CC,92,5500(PS,5,,5 Speed,FWD,,Ventilated Disc,Drum,157 kmph,14.5 seconds,4,4,2,SOHC,SEFI
6,2005,"70,000 kms",First Owner,Petrol,Manual,Bangalore,1.11 Lakh*,Maruti,17.3 kmpl,1061 CC,64,"6,200 (PS",5,,5 Speed,,Manual,Disc,Drum,154 kmph,16.6 seconds,5,4,4,,MPFI
7,2000,"81,168 kms",Third Owner,Petrol,Manual,Bangalore,1.15 Lakh*,Hyundai,0.0 kmpl,999 CC,null,,5,Silver,,,Power,,,,,5,4,4,null,null
8,2004,"1,22,517 kms",Second Owner,Diesel,Manual,Bangalore,1.2 Lakh*,Ford,14.2 kmpl,1299 CC,70 ," 5,500 (PS",5,Silver,5 Speed,FWD,Power,Ventilated Disc,Drum,157 kmph,14.5 seconds,4,4,2,SOHC,SEFI
9,2007,"1,04,456 kms",Second Owner,Diesel,Manual,Bangalore,1.25 Lakh*,Ford,17.8 kmpl,1399 CC,68 ," 4,000 (PS",5,Blue,5 Speed,FWD,Power,Ventilated Disc,Self-Adjusting Drum,156 kmph,17.6 seconds,4,4,2,SOHC,CRDI
10,2004,"80,000 kms",Second Owner,Petrol,Manual,Bangalore,1.3 Lakh*,Maruti,19.7 kmpl,796 CC,46.3bhp,6200rpm,5,,5 Speed,2WD,Manual,Disc,Drum,137km/hr,17.7 seconds,5,3,4,SOHC,MPFI
11,2011,"50,000 kms",Third Owner,Petrol,Manual,Bangalore,1.3 Lakh*,Chevrolet,18.0 kmpl,995 CC,62bhp,5400rpm,5,,5 Speed,FWD,Power,Disc,Self-Adjusting Drum,156km/hr,14.8 seconds,5,4,2,SOHC,SEFI
12,2015,"70,000 kms",Third Owner,Diesel,Manual,Bangalore,1.3 Lakh*,Tata,25.0 kmpl,1396 CC,69bhp,4000rpm,5,,5 Speed,FWD,Power,Ventilated Disc,Drum,155 Kmph,14.5 Seconds,5,4,4,DOHC,CRDi
13,2013,"25,758 kms",Second Owner,Petrol,Manual,Bangalore,1.35 Lakh*,Tata,25.4 kmpl,624 CC,37.48bhp,5500+/-250rpm,4,Silver,4 Speed,,Manual,Drum,Drum,105km/hr,12.6 Seconds,4,2,2,,MPFI
14,2009,"90,000 kms",Second Owner,Petrol,Manual,Bangalore,1.35 Lakh*,Chevrolet,16.2 kmpl,995 CC,62.1bhp,5400rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,,,5,4,2,,MPFI
15,2011,"1,20,000 kms",Third Owner,Diesel,Manual,Bangalore,1.5 Lakh*,Tata,19.09 kmpl,1396 CC,69bhp,4500rpm,5,,5 Speed,FWD,Manual,Ventilated Disc,Drum,,,4,4,0,,MPFI
16,2012,"51,000 kms",First Owner,Petrol,Manual,Bangalore,1.5 Lakh*,Tata,25.4 kmpl,624 CC,38Ps,5500+/-250rpm,4,Green,4 Speed,RWD,Manual,Drum,Drum,105km/hr,12.6 Seconds,4,2,2,,MPFI
17,2006,"50,000 kms",Second Owner,Petrol,Manual,Bangalore,1.5 Lakh*,Hyundai,13.9 kmpl,1599 CC,103.2 ," 5,500 (PS",5,,5 Speed,FWD,,Ventilated Disc,Disc & Drum,193 kmph,12.2 seconds,4,4,4,DOHC,
18,2007,"60,000 kms",Third Owner,Petrol,Manual,Bangalore,1.5 Lakh*,Hyundai,17.8 kmpl,1086 CC,63 ," 5,500 (PS",5,,5 Speed,,Power,Ventilated Disc,Drum,141 kmph,16.2 seconds,5,4,3,SOHC,MPFI
19,2010,"1,10,000 kms",Second Owner,Diesel,Manual,Bangalore,1.6 Lakh*,ICML,11.12 kmpl,1994 CC,120bhp,4000rpm,8,,Five Speed Manual Transmission,Two Wheel Drive,,Ventilated Disc,Drum,,,5,4,4,,
