index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1,2007,"50,000 kms",Second Owner,Petrol,Manual,Mumbai,"55,000*",Maruti,16.1 kmpl,796 CC,37bhp,5000rpm,4,White,4 Speed,FWD,,,,144km/hr,21 Seconds,4,3,2,SOHC,MPFI
2,2004,"1,00,000 kms",Third Owner,Petrol,Manual,Mumbai,"60,000*",Maruti,17.3 kmpl,993 CC,60 PS , 6000 rpm,5,Silver,5 Speed,,,,,,,,4,4,SOHC,MPFI
3,2005,"75,855 kms",Third Owner,Petrol,Manual,Mumbai,"65,000*",Maruti,16.1 kmpl,796 CC,37bhp,5000rpm,4,Gold,4 Speed,FWD,,,,144km/hr,21 Seconds,4,3,2,SOHC,MPFI
4,2006,"41,000 kms",Second Owner,Petrol,Manual,Mumbai,"69,000*",Maruti,15.9 kmpl,1298 CC,null bhp,,5,Silver,,,Power,,,,,,,,,null
5,2004,"80,746 kms",First Owner,Diesel,Manual,Mumbai,"69,000*",Tata,13.5 kmpl,1405 CC,null bhp,,5,Silver,,,Power,,,,,,,,null,null
6,2006,"1,05,000 kms",Third Owner,Petrol,Manual,Mumbai,"75,000*",Maruti,15.9 kmpl,1298 CC,null bhp,,5,White,,,Power,,,,,,,,undefined,null
7,1999,"1,10,000 kms",Second Owner,Petrol,Manual,Mumbai,"75,000*",Hyundai,,,,,,,,,,,,,,,,,,
8,2012,"17,500 kms",First Owner,Petrol,Manual,Mumbai,"78,000*",Tata,26.0 kmpl,624 CC,35 bhp,,4,Yellow,4 Speed,RWD,,,,,,,,,,
9,2003,"80,000 kms",First Owner,Petrol,Manual,Mumbai,"79,000*",Hyundai,,,,,,,,,,,,,,,,,,
10,2005,"91,000 kms",Second Owner,Petrol,Manual,Mumbai,"80,002*",Honda,12.8 kmpl,1493 CC,100 bhp,,5,White,,,Power,,,,,,,,,null
11,2005,"61,511 kms",Second Owner,Petrol,Manual,Mumbai,"85,000*",Maruti,18.9 kmpl,998 CC,67.1bhp,6200rpm,5,Silver,5 Speed,,,,Drum,,,4,3,4,,MPFI
12,2004,"99,000 kms",Second Owner,Petrol,Manual,Mumbai,"85,000*",Maruti,14.0 kmpl,1061 CC,64 bhp,,5,Silver,,,Power,,,,,,,,,
13,2010,"31,503 kms",Second Owner,Petrol,Manual,Mumbai,"85,999*",Tata,25.4 kmpl,624 CC,37.48 bhp,,4,Yellow,4 Speed,,,,,,,,,,,
14,2012,"8,000 kms",First Owner,Petrol,Manual,Mumbai,"89,000*",Tata,25.4 kmpl,624 CC,37.48bhp,5500+/-250rpm,4,Silver,4 Speed,,,,,,,4,2,2,,MPFI
15,2008,"1,20,000 kms",Third Owner,Petrol,Manual,Mumbai,"95,000*",Maruti,19.7 kmpl,796 CC,46.3bhp,6200rpm,5,Brown,5 Speed,FWD,,,,,,5,3,4,SOHC,MPFI
16,2008,"46,000 kms",Fourth & Above Owner,Petrol,Manual,Mumbai,"95,000*",Maruti,16.9 kmpl,1061 CC,64.9 ," 6,200 (PS",5,Red,5 Speed,,,,,,,5,4,4,,
17,2002,"1,35,257 kms",Fourth & Above Owner,Diesel,Manual,Mumbai,"98,000*",Toyota,13.2 kmpl,2446 CC,75 PS , 4200 rpm,10,Silver,5 Speed,,,,,,,5,4,2,SOHC,Distribution Type Fuel Injection
18,2008,"60,000 kms",First Owner,Petrol,Manual,Mumbai,"99,000*",Mahindra,15.7 kmpl,1390 CC,75 bhp,,5,Maroon,5 Speed,,,,,,,,,,,
19,2002,"70,000 kms",Second Owner,Petrol,Manual,Mumbai,1 Lakh*,Mitsubishi,13.7 kmpl,1468 CC,85.8bhp,5500rpm,5,Yellow,5 Speed,FWD,Power,Ventilated Disc,Drum,175km/hr,12.95 seconds,4,4,3,SOHC,MPFI
20,2010,"4,00,000 kms",Second Owner,Diesel,Manual,Mumbai,1 Lakh*,Tata,17.0 kmpl,1405 CC,71 PS at 4500 rpm,,5,,5 Speed,2 WD,Power,Ventilated Disc,Drum,,,5,4,4,,Turbo Intercooled Diesel
21,2007,"68,620 kms",Third Owner,Petrol,Manual,Mumbai,1.09 Lakh*,Hyundai,0.0 kmpl,1086 CC,null,,5,White,,,Power,,,,,5,4,4,null,null
22,2006,"1,18,339 kms",First Owner,Petrol,Manual,Mumbai,1.1 Lakh*,Toyota,13.4 kmpl,1794 CC,125,"6,000 (PS",5,Beige,5 Speed,,Power,Ventilated Disc,Solid Disc,191.7 kmph,9.89 seconds,4,4,4,DOHC,EFI (Electronic Fuel Injection)
23,2007,"59,979 kms",Second Owner,LPG,Manual,Mumbai,1.11 Lakh*,Maruti,17.3 km/kg,1061 CC,57.5,"6,000 (PS",5,Red,5 Speed,,Power,Disc,Drum,154 kmph,16.6 seconds,5,4,4,,MPFI
24,2006,"1,20,000 kms",Third Owner,Petrol,Manual,Mumbai,1.15 Lakh*,Maruti,,,,,,,,,,,,,,,,,,
25,2006,"70,000 kms",Second Owner,Petrol,Manual,Mumbai,1.15 Lakh*,Maruti,16.1 kmpl,1298 CC,88.2,6000 (PS,5,Red,5 Speed,,Power,Ventilated Disc,Drum,160 kmph,12.29 seconds,5,4,4,,MPFI
26,2008,"38,000 kms",First Owner,Diesel,Manual,Mumbai,1.2 Lakh*,Tata,17.88 kmpl,1396 CC,52.8bhp,5500rpm,5,Red,5 Speed,FWD,Power,Disc,Drum,,,4,4,2,SOHC,MPFI
27,2008,"25,700 kms",Third Owner,Petrol,Manual,Mumbai,1.2 Lakh*,Maruti,18.2 kmpl,998 CC,67.1bhp,6200rpm,5,Golden,5 Speed,,,Ventilated Disc,Drum,130 kmph,16.26 seconds,5,3,4,undefined,MPFI
28,2007,"60,000 kms",Second Owner,Petrol,Manual,Mumbai,1.2 Lakh*,Honda,13.5 kmpl,1799 CC,130bhp,6300rpm,5,Purple,5 Speed,,Power,Ventilated Disc,Disc,,,4,4,4,SOHC,PGM-FI (Programmed Fuel Injection)
29,2008,"90,000 kms",Second Owner,Diesel,Manual,Mumbai,1.25 Lakh*,Hyundai,16.8 kmpl,1493 CC,110 bhp,,5,,5 Speed,FWD,,,,,,,,,,
30,2008,"60,000 kms",Second Owner,Petrol,Manual,Mumbai,1.25 Lakh*,Hyundai,14.2 kmpl,1341 CC,82.9 ," 5,500 (PS",5,White,5 Speed,,,,,,14.6 seconds,4,4,3,SOHC,MPFI
31,2008,"82,700 kms",Second Owner,Petrol,Manual,Mumbai,1.25 Lakh*,Maruti,18.9 kmpl,998 CC,67.1 bhp,,5,Black,5 Speed,FWD,,,,,,,,,,
32,2007,"1,41,163 kms",Third Owner,Petrol,Manual,Mumbai,1.25 Lakh*,Toyota,13.4 kmpl,1794 CC,125 bhp,,5,White,5 Speed,,,,,,,,,,,
33,2010,"47,000 kms",Second Owner,Petrol,Manual,Mumbai,1.25 Lakh*,Hyundai,13.2 kmpl,1495 CC,94 ," 5,550 (PS",5,,5 Speed,,Power,Ventilated Disc,Drum,170 kmph,13.1 seconds,4,4,3,SOHC,MPFI
34,2008,"55,000 kms",First Owner,Petrol,Manual,Mumbai,1.25 Lakh*,Maruti,18.2 kmpl,998 CC,67.1bhp,6200rpm,5,Golden,5 Speed,,,Ventilated Disc,Drum,130 kmph,16.26 seconds,5,3,4,undefined,MPFI
35,2015,"15,000 kms",Second Owner,Petrol,Manual,Mumbai,1.25 Lakh*,Tata,23.9 kmpl,624 CC,37.48bhp,5500rpm,4,,4 Speed,RWD,Manual,Drum,Drum,105 Kmph,12.6 Seconds,5,2,2,SOHC,MPFI
36,2008,"40,643 kms",First Owner,Petrol,Manual,Mumbai,1.25 Lakh*,Maruti,19.7 kmpl,796 CC,46.3bhp,6200rpm,5,Blue,5 Speed,FWD,Power,Disc,Drum,137km/hr,17.7 seconds,5,3,4,SOHC,MPFI
37,2008,"69,100 kms",First Owner,Petrol,Manual,Mumbai,1.25 Lakh*,Maruti,21.79 kmpl,998 CC,67.05bhp,5500rpm,5,Maroon,5 Speed,,Power,Disc,Drum,,18.6 Seconds,5,3,4,DOHC,MPFI
