index,year,kms,owners,vehicle,manual,location,amount,brand,mileage,engine,maxPower,maxPowerRPM,seats,Color,GearBox,driveType,SteeringType,FrontBrkType,RearBrkType,TopSpeed,acceleration,Doors,no_cyclinders,no_valves,valveConfig,fuelSupply
1,2007,"71,000 kms",First Owner,Petrol,Manual,Hyderabad,"80,000*",Maruti,16.1 kmpl,796 CC,37bhp,5000rpm,4,Silver,4 Speed,FWD,,Disc,Drum,144km/hr,21 Seconds,4,3,2,SOHC,MPFI
2,2009,"69,000 kms",Second Owner,Diesel,Manual,Hyderabad,"98,000*",Ford,13.8 kmpl,1399 CC,68bhp,4000rpm,5,,5 Speed,FWD,,,,,,4,4,2,DOHC,SEFI
3,2008,"86,000 kms",First Owner,Petrol,Manual,Hyderabad,"99,000*",Maruti,16.1 kmpl,796 CC,37bhp,5000rpm,4,Silver,4 Speed,FWD,,,,,21 Seconds,4,3,2,SOHC,MPFI
4,2007,"1,20,000 kms",First Owner,Diesel,Manual,Hyderabad,1 Lakh*,Tata,17.2 kmpl,1396 CC,53.5,"5,500 (PS",5,,5 Speed,FWD,,,,,,,4,2,SOHC,MPFI
5,2004,"43,664 kms",First Owner,Petrol,Manual,Hyderabad,1 Lakh*,Ford,13.8 kmpl,1299 CC,70 ," 5,500 (PS",5,Red,5 Speed,,,,,,,4,4,2,SOHC,SEFI
6,2008,"1,55,000 kms",Second Owner,Diesel,Manual,Hyderabad,1.1 Lakh*,Tata,19.09 kmpl,1396 CC,69bhp,4500rpm,5,Grey,5 Speed,FWD,,,,,,4,4,0,,MPFI
7,2008,"49,000 kms",First Owner,Petrol,Manual,Hyderabad,1.1 Lakh*,Maruti,16.1 kmpl,796 CC,37bhp,5000rpm,4,Blue,4 Speed,FWD,,,,,21 Seconds,4,3,2,SOHC,MPFI
8,2016,"1,20,000 kms",Second Owner,Diesel,Manual,Hyderabad,1.3 Lakh*,Tata,25.0 kmpl,1396 CC,69bhp,4000rpm,5,Silver,5 Speed,,,,,,,5,4,4,DOHC,CRDi
9,2006,"90,000 kms",Second Owner,Petrol,Manual,Hyderabad,1.4 Lakh*,Ford,15.3 kmpl,1596 CC,101 ," 6,500 (PS",5,Golden,5 Speed,,,,,,,4,4,4,DOHC,SEFI
10,2010,"1,80,108 kms",First Owner,Diesel,Manual,Hyderabad,1.4 Lakh*,Tata,17.88 kmpl,1405 CC,48.21bhp,5000rpm,5,Silver,5 Speed,,,,,,,5,4,4,DOHC,Direct Injection
11,2007,"73,000 kms",Second Owner,Petrol,Manual,Hyderabad,1.4 Lakh*,Hyundai,0.0 kmpl,1086 CC,null bhp,,5,Silver,,,Power,,,,,,,,null,null
12,2005,"98,246 kms",First Owner,Petrol,Manual,Hyderabad,1.45 Lakh*,Ford,14.2 kmpl,1597 CC,92,5500(PS,5,Black,5 Speed,,,,Drum,157 kmph,14.5 seconds,4,4,2,SOHC,SEFI
13,2007,"82,000 kms",Second Owner,Diesel,Manual,Hyderabad,1.45 Lakh*,Chevrolet,16.52 kmpl,1991 CC,123.7bhp,3800rpm,5,Diamond,5 Speed,,,Ventilated Disc,Disc,189km/hr,11.1 seconds,4,4,4,SOHC,CRDI
14,2005,"80,000 kms",First Owner,Petrol,Manual,Hyderabad,1.55 Lakh*,OpelCorsa,13.8 kmpl,1589 CC,93 PS , 5600 rpm,5,Red,5 Speed,,,,,170 Km/Hour,12.4 seconds,4,4,0,,
15,2008,"59,000 kms",First Owner,Petrol,Manual,Hyderabad,1.6 Lakh*,Chevrolet,18.0 kmpl,995 CC,62bhp,5400rpm,5,Grey,5 Speed,,Power,Disc,Self-Adjusting Drum,161km/hr,14.8 seconds,5,4,2,SOHC,SEFI
16,2009,"1,42,608 kms",First Owner,Diesel,Manual,Hyderabad,1.65 Lakh*,Ford,17.8 kmpl,1399 CC,68 ," 4,000 (PS",5,Grey,5 Speed,FWD,,Ventilated Disc,Self-Adjusting Drum,156 kmph,17.6 seconds,4,4,2,SOHC,CRDI
17,2011,"78,000 kms",First Owner,Diesel,Manual,Hyderabad,1.65 Lakh*,Tata,25.0 kmpl,1396 CC,69.01bhp,4000rpm,5,Silver,5 Speed,,,,Drum,154 Kmph,16.5 Seconds,4,4,4,,CRDi
18,2006,"83,000 kms",First Owner,LPG,Manual,Hyderabad,1.65 Lakh*,Maruti,17.3 km/kg,1061 CC,57.5,"6,000 (PS",5,Blue,5 Speed,,Power,Disc,Drum,154 kmph,16.6 seconds,5,4,4,,MPFI
19,2014,"75,695 kms",First Owner,Petrol,Manual,Hyderabad,1.65 Lakh*,Tata,25.4 kmpl,624 CC,37.5bhp,5500+/-250rpm,4,Violet,4 Speed,,,,,105km/hr,12.6 Seconds,4,2,2,SOHC,MPFI
20,2008,"76,000 kms",Second Owner,CNG,Manual,Hyderabad,1.7 Lakh*,Maruti,26.83 km/kg,796 CC,38.4bhp,6200rpm,5,Silver,Five Speed Manual Transmission,Two Wheel Drive,,Disc,Drum,137km/hr,18.2 seconds,5,3,4,SOHC,
21,2008,"68,971 kms",First Owner,Petrol,Manual,Hyderabad,1.75 Lakh*,Maruti,19.7 kmpl,796 CC,46.3bhp,6200rpm,5,Silver,5 Speed,FWD,Power,Disc,Drum,137km/hr,17.7 seconds,5,3,4,SOHC,MPFI
22,2006,"71,730 kms",First Owner,Petrol,Manual,Hyderabad,1.75 Lakh*,Hyundai,17.0 kmpl,1086 CC,null,,5,Black,,,Power,,,,,5,4,4,null,null
23,2006,"75,040 kms",First Owner,Petrol,Manual,Hyderabad,1.8 Lakh*,Hyundai,0.0 kmpl,999 CC,null,,5,Red,,,Power,,,,,,4,4,null,null
24,2009,"76,000 kms",Second Owner,Petrol,Manual,Hyderabad,1.8 Lakh*,Maruti,19.7 kmpl,796 CC,46.3bhp,6200rpm,5,Silver,5 Speed,FWD,,Disc,Drum,137km/hr,17.7 seconds,5,3,4,SOHC,MPFI
25,2007,"83,132 kms",First Owner,Petrol,Manual,Hyderabad,1.9 Lakh*,Hyundai,,,,,,,,,,,,,,,,,,
26,2008,"75,751 kms",First Owner,LPG,Manual,Hyderabad,1.95 Lakh*,Maruti,17.3 km/kg,1061 CC,57.5,"6,000 (PS",5,White,5 Speed,,Power,Disc,Drum,154 kmph,16.6 seconds,5,4,4,,MPFI
27,2009,"1,78,000 kms",Second Owner,Diesel,Manual,Hyderabad,1.95 Lakh*,Mahindra,14.0 kmpl,2498 CC,112bhp at 3800 rpm,,7,,5 Speed,2 WD,,,Drum,,,5,4,4,,CRDI
28,2014,"39,000 kms",First Owner,Petrol,Manual,Hyderabad,1.95 Lakh*,Tata,25.4 kmpl,624 CC,37.5bhp,5500+/-250rpm,4,royal gold,4 Speed,,,,Drum,105km/hr,12.6 Seconds,4,2,2,SOHC,MPFI
