index,ratings,reviews
1,1,"I ( Aashish Nirmal Jain) have ordered moto g60 from Flipkart on 27th June 2021. It delivered on 28th June 2021
There are many issues in this phone. To name a few
1)System doesn't have its own gallery for photos, it has Google photos only and that made me download gallery from playstore , which again is very bad. I have to watch 2-3 adds before opening my gallery and that is not feasible for me
2) My data switches off on its even though I have not consumed my data pack.and it doesn't turn on...
READ MORE"
2,1,"Mostly camera is performance low and its hanging .battery 6000 mah is performing like 3000 mah. Mobile Android software performance is average.. features are showing like high but performance is not reachable to that provided features..
Complete ly unsatisfied with this mobile.
I am moto lover. It's very sad to give feedback like this..
Previously two years back I had bought moto one Power mobile.
G60 mobile performance is not like now one Power mobile. Which means it's not worthy to compare ...
READ MORE"
3,1,Camera clarity is very very worst it is like normal camera like ..Not much good ..So if you like camera lover not buy it this phone very worst
4,1,"Camera in low light is not good ...it gives 108mp but it doesn't work as 108mp ...,. battery life also not so good ."
5,1,"Motorola G-60 Does Not Provide any Basic Default Application Lock and Music Player , Notes , Recoder , Gallery call history Timing Details example for how many times you will call another person and some bugs in this model like Turn On Battery Saver Mode so Current Application is Automatically Restarted , then after Camera Result is Good but Not Satisfied result properly because Motorola Company Provide 108 MP Rear Camera but results like 64 MP then after Motorola G-60 device every features ...
READ MORE"
6,1,"Price is to high according to specification,108 mp camera is only on paper performing like 13 mp front camera is also performing poor although processor is little bit good, display quality is also bad,battery backup is good. Only best thing of this phone is android one ad free experience.i recommend dont buy this phone in this price range we have many more option in this price range."
7,1,"Wrighting this review after using one day,

Phone is very heavy and can't hold in hand
Camera is worst, I am using samsung m31s have better camera than this.
Audio quality is not good.
Finally Flipkart seller TREASURE HAUL ONLINE is very bad
Also I feel all the reviews given by seller not user who used the phone.
Request to all please don't trust this seller review and buy
Please go with poco x3 pro and realme x7 for this cost don't waste the money"
8,1,"Overall OK, but don't go with its 108 mp camera. It works like 13 mp camera or even low. Display is wrost. Overall performance is ok but if you want a camera phone with good display never ever go for it."
9,1,"Never buy this product. Did not get as expected. Phone getting hanged, battery back up very poor , over all performance very poor. Better to buy oppo, vivo or best mi. It's a honest review ..I was using mi before it was better than this"
10,1,Don't buy it has cast screen problem I have heard so many same problems in moto care😡😡😡..... Buy some other brand Mobile
11,1,"This product has heating issue. I wanted to highlight one big flaw where Moto has not given in built compass. This will be a big problem for navigation while using Google Map. Please think about this while purchasing as it is key feature for navigation specially in metro cities.
Camera quality is average and do not meet 108 mp quality at all."
12,1,"Purchased 20 days back, touch problem arising"
13,1,Not a competitive for other phones camera is written 108 but just 10 pixels or maybe 18 max. No image stabilization.you will get blurred vision only . Network is not stable too . Net speed slow. Wifi also. Not a gamer so.fiñgerprint slow. What to say. Lost my money
14,1,I want change phone network issue and display problem product not good cousmter service not wiil response
15,1,The camera is not at all 108MP and also the display. Looks like a marketing gimmick.
16,1,Very very bad photo
17,1,"Camera is too bad quality,phoone is hited"
18,1,"The phone is good but my unit have a specific problem it screen got hangs
And flipkart have the worst service
My phone is under warranty period and they are not giving me any facilities
Poor flipkart"
19,1,"Camera quality is very poor.. I have Moto one power for exchange and there is no defect in my phone but delivery guy didn't exchange my phone.. reason : damage screen

Now I m not able to add image also to justify my image... This how flipkart supporting moto"
20,1,"This feedback post using of 3 months of the mobile

Pros:
Good battery backup through out the day with mobile network on


Cons:
*Very disappointed performance lagging many times
*Camera photo taking take more time for each photo
*Touch screen some times not responding promptly take a second to respond your gesture touch some Times
*Slow motion not working showing blurry while recording
*Looks like named it's 6gb ram but in the performance wise as I observed deeply
*MotoG60 team need to test...
READ MORE"
21,1,Bukwas display
22,1,Much weighted item not as expected
