index,ratings,reviews
1,1,Verry poor
2,1,Very good product
3,1,"Mobile working Not Good , signals problem, calls not connected"
4,1,Money waste
5,1,Camera quality is to bad.
6,1,Not so good phone camera quality is bad also not having turbo charger due to which charging is slow
7,1,Camera right no
8,1,"This is my true experience, in 7 days replacement time, and thanks to Flipkart they was returned my this phone.
I face some problems in this phone.
Not fast charging, Camera not work good in dark place, phone hang problem started in 7 days, some time apps are freeze and display not working,
👉*Networks and internet data speed*👈 is very good, after first update desplay and performance is better👌, and battery backup is good👌. slow charging has little improvement. But not good. Apps open quic...
READ MORE"
9,1,Auto call recorder not available
10,1,don't buy this phone. totaly dabba.. wastw of money. i am to return
11,1,Worst camera
12,1,Failure product screen is very dim and looks like old phone
13,1,Don't buy this product
14,1,Camera Third Class quality waste of money don't buy this mobile
15,1,Worst phone I bought
16,1,3 time hanging issue in Day while opening camera and other app
17,1,This mobile would charge very slowly and its processor would work very slowly.
18,1,"Not work fastly
And battery is discharged in very short time"
19,1,Camera is bad quality
20,1,"Very Bad Experience not buy any product in my life flipkart customer service is very bad don't ready to return in product so don't buy ....
Worsted phone don't buy very poor performance..."
21,1,It's camera is very bad...
22,1,"Very very worst battery performance ,every 5 minutes 3-percent charge is losing,very worst performance,just name 5000 mah battery but it is a 3000 mah battery,it is not usable for any purpose"
23,1,Nice
24,1,Not good as much i expected
25,1,Not buy product
26,1,Very bad
27,1,Don't buy phone from flipkart because I am in buy 2 phone same fault show meny dot in screen total best of money please don't buy
28,1,Getting too much hanging problem
29,1,Not charging properly
30,1,Camera quality very poor
31,1,Wrost product
32,1,Phone hang
33,1,"Not a worthy choice
Very bad
Camera very bad
Don't buy this product"
34,1,Camera and display quality is very low...Its not aspected from oppo...Very disappointed
35,1,Hang
36,1,Totally money west
37,1,"Dont buy this phone
OPPO is known for camera but camera quality is very poor"
38,1,Mbl hank
39,1,Camera quality is bakawas
40,1,Peformance not good. Not good for voice and video call. There is no sound during the call . Pls don't buy this product . Ist not up to mark. Wast your money.
41,1,Camera. Issu
42,1,Camera performance is very poor
43,1,Not good quality
44,1,Cemera not good
45,1,Battery problem
46,1,Received a defective product now Flipkart is denying to refund the amount do not buy any mobile from Flipkart otherwise you have to sit and cry according to their term and condition
47,1,Worst Camera and Battery
48,1,"Don't buy this phone, worst phone, keep on hanging, camera hangs , pics you click sometimes will not get saved in gallery, while playing games hangs, battery is also not good, just don't buy ...
Touch screen not responding properly, after 2-3 touch working once, navigation is very poor"
49,1,"very ned mobile don't buy this mobile
company will not be exchange"
50,1,Worst mobile don't buy on flifcart
51,1,"Flipkart is now cheating customer. There are showing offer on realme c21 that if you buy 2 or more mobile then they will provide 2000 off.
But once i order three mobile they declined about 2000 off. Very very bad"
52,1,Guys Don't buy this mobile . I buyed A53s 5G 1 month before and start having hang problem and slow dialing calls. I visited oppo customer care center for this problem. they told that it's built with this defect ( Google dialer) and Can't do any thing. Very disappointing experience with oppo mobile.
53,1,poor
54,1,It's. Very bad product and flipkart
55,1,"This menu bar is blinking and any application which u open will close immediately.. u have to try to open any application 3 to 4 times .
Within just 10days I got this problem..worst phone ever ...."
56,1,Very poor performance
57,1,Just ok not good
58,1,Bad camera quality
59,1,"Camera is very bad don't buy this product
Only money lose"
60,1,"Phone is ok but big prolem is call recording,, it has a call record alert give by caller,,it has no option to desabled...dont buy this phone"
61,1,"Friends, don't waste your money.. this is a useless phone, within two days the sound of my phone has become bad..🙏👎👎👎👎.."
62,1,Camera is very worst
63,1,Very very bad bettery full day and dislay lock zoom in lock screen
64,1,Finger print not working
65,1,Avarag product
66,1,Bad reting
67,1,Camera quality very bad
68,1,Very bad products waste money
69,1,This product was very bad and performance also warest
70,1,Camera quality poor
71,1,The finger print sensor doesn't work properly
72,1,"Camra is very bad 3rd quality camera,,"
73,1,Very poor
74,1,Bad products
75,1,"Worst Mobile, Many Issue, No copy Paste option in this mobiles. Completely disapoointing."
76,1,Flipkart disappointed 😞 me after one weak my phone got complaint. I just installed a application from playstore my phone display automatically turned off and on .. and continues
77,1,"Not value for money, worst camera and display quality"
78,1,Cemera quality bad
79,1,Camera is not good
80,1,Worst phone
81,1,The camera of this phone is not good. And the fingerprint got damaged only after 3 months.
82,1,"Don't buy this phone
Phone is hanging issue and battery is very very slow charging and camera is not beter don't buy this phone wrost phone"
83,1,Not good
84,1,"Charging takes 4.5 to 5 hours, while other take 2 to 2.5 hours to charge (normal charge)."
85,1,"Poor camera quality.
Fast charging not supported"
86,1,There is a software issue and phone didn't work ...totally got hung .. Flipkart are looters
87,1,This is very poor phone than using few days after this phone software problem and network problem I'm not satisfied purchase this phone really I'm not happy
88,1,Charging is extremely slow and battery drains too fast.
89,1,Already used mobile
90,1,Frot camera too bad not for worthy
91,1,Camera quality is very bad
92,1,Not recommend bad product
93,1,Piece is not work properly
94,1,Camera is not good front or back
95,1,Camera quality very poor processor very slow.
96,1,Bed daliveri
97,1,Camera is so bad
98,1,Display not working 8 days to I hated
99,1,photos captured with the camera are showing blur
100,1,It was working...not properly nd fringer senser also. Automatically do not distrub is opening when I was turn off it is open again....I will wait few month....then I replacement this phone.....due to some problems I suffered....I m Disappointed about this 5g phone.....my feedback is........ poor......😞😞😞☹️☹️☹️☹️
101,1,Camera not nice
102,1,Camara low. Quality
103,1,Sensor is not working
104,1,Not good phone
