index,ratings,reviews
1,1,Pls don't go for it. It has no silent call recording n screen shut off during making call. Totally waste of money
2,1,Very slow charging.
3,1,"Many problems I face with this phone
1.camera in low light not good
2.automatic turning off display
3.camera quality decreases by updating software"
4,1,"There is frequent screen blackout issue during calls. Beware of this product from realme. If bought,you will regret your decision after 3 days of using the mobile as I'm doing now 🤕"
5,1,"Realme 8i model very worst proximity sensor not working out and incoming calling display off, 50 camera not quality, speaker not clear voice, phone heating problems, very very bad more than default apps ads storage full problems"
6,1,Speaker 🔇 not a happy
7,1,"No voice cancellation
No auto call recorder.
Other voice in Video recording.
Battery backup is poor.
Hate realme.
Hate 8i..."
8,1,Very bad... Sensor not working properly.. Don't buy this f.. Kn phone. Absolutely waste of money.
9,1,Device facing Heating issues and battery drainage problem.
10,1,"Build quality is good ...camera is avg ..battery drain is fast ...worst experience

Phone getting off again and again durin call"
11,1,"Display & Screen problem, it's not functioning of double tap to wake screen is not functioning"
12,1,Phone is completely laggy. When u ask for return customer executive will try to comfort you with their brilliant replacement policy theory. I dont really understand how i am supposed to predict the lag before using it.
13,1,Sensors not working well
14,1,Battery is not good
15,1,"1. I am facing hanging issue in the phone, while receiving calls
2. Finger print is not working sometimes.
3. Corner of the screen touch need more impression.
4. Screen display is not showing, when I make a call outdoor (couldn't understand, it's working indoor not in outdoor)"
16,1,After switch off my mobile whenever I put charger automatically it's switch gonna be on..I don't know what I do..is it problem yea not I dont know..after 7 days I saw this..I dont know is it a setting issues?
17,1,Do no bay this product.display sensar is not properly work..
18,1,Worst mobile proximity sensor problem
19,1,"Power on.&off button not working ...sometimes screen totally black and auto switch off ..Technician visit expected by 15 oct ..but till now ..technician not came
I totally disappointed by flipkart"
20,1,It's really amazing
21,1,Very poor sensor performance . Very bad performance. I was fully wasted my money.
22,1,The Camara is worst
23,1,Vary bad mobail
24,1,This product is no satisfied
25,1,Mobile heat quickly
26,1,"Flash light is very very poor.
In this price Ram must be 6GB."
27,1,It's a waste of money. Started creating problem from very first day. Camera is average. Too frequent adds. It's a pile of metal and plastic.
28,1,Side button working is bad
29,1,"Not worth of money, realme products are waste and worest"
30,1,"Good but not best ,"
31,1,"Please don't waste your hard earned money on it .
It has so many issues .
Starts to hang in 10 days even when only 2-3 apps(genuine apps) are installed.
Screen gets blanked while calling and won't turn on for 5 mins. Issued not resolved even after software update. They said some software issue is there, I had received software update today , but still not resolved. First time I tried realme and it disappointed me. Never ever gonna purchase any realme devices. So please don't buy this model, i...
READ MORE"
32,1,"Worst camera, display 3/5"
33,1,"Hanging issue from day 1, heating when I see vedios In phone, battery is worst only 6 hours working."
34,1,After one month of use this is not working properly during call screen sensor is not working and screen does not wake up you can not make call or use screen anything when call is going on and screen is once get off. Many problems I have facing which I can't describe. Don't buy realme products.
35,1,"in one word, worst mobile 😡🤬😡😡😡😡😡"
36,1,Camera of this product is too much bad... 50 mp back is not original... Front camera also too bad... Worst camera experience ever... I think I'm over trusted on Realme brand... Don't go for it...
37,1,low quality display problem
38,1,"This mobile is not secure for call recording
Call recording notification alarm is not secure"
39,1,Screen is flickering after two days of use.
40,1,sensor is not working properly worst products of realme
41,1,"I bought this phone for my mommy, but the phone isnt handy. The recording feature isn't there anymore, which was very important to us. The display is hardly visible in daylight.
If you push the volume up and lock button together, the phone goes on silent. As the buttons are in opposite direction, my pushes them together by mistake while locking the phone. There's no option to disable this feature. Not a good phone for parents."
42,1,Heating & battery drain fastly. Not recommended for any one bad product
43,1,"During video call, video is fast forward which was not sink with Voice."
44,1,It is lagging after using one week.I don't like it.before buying I had a good opinion on realme phones.now I lost it. Now I regret for that.
45,1,Bad Camera. No voice in incoming calls. Realme service centre not acknowledging the issue. Complete waste of money. Very bad after sales support.
46,1,Bad product
47,1,Worst
48,1,Such a bad product i will never buy realmi product..
49,1,Don't buy
50,1,It's glass protection is very bad many scratch on its screen in few days after receiving my phone
51,1,Waste of monet
52,1,Plz don't buy it. Waste product
53,1,"Don't buy...
Camera quality very very bad (-10)
Flash light don't work properly when take photos at night
Display brightnes is very low"
54,1,Not really a good stuff
55,1,Very slow network
56,1,The quality of the camera is not good at all.
57,1,Average
58,1,Bad
59,1,Just wasted money
60,1,"Realme 8i not bad mobile. , But Bad service by flipkart."
61,1,"Worst phone by Realme.

Guys camera is very very very very very very very bad

I also got trapped in their pics posted in reviews"
62,1,Don`t buy this it can not even stand for half day even if it is on 60hz mode .
63,1,Speaker problem. Not satisfied
64,1,Battery backup us worsted😠😠
65,1,Worst
66,1,Very bad products don't buy
67,1,Waste product in Flipkart
68,1,Not so good
69,1,bad
70,1,Betty battle mobile Don't purchase that camera is so bad Battery performance is very poor
71,1,Camera quality very poor. Don't buy this phone.
72,1,Very bad
73,1,"Don't buy this phone, its camera is absolutely useless
all your money will be wasted"
74,1,Battery backup very bad
75,1,"The quality phone is worst, display damaged"
76,1,Battery backup poorr proxobity senser not work hanging problem after 4 day uses don't buy this product
77,1,I m not satisfied with 50 MP camera. My 13 MP Samsung camera is better then this 50 MP
78,1,Phone lags after 1 Months .. performance not good
79,1,Heavy heating problem please don't buy this mobile don't west your money
80,1,"I have used more than 1 month it's worst pH in my life . It's hang from day one, waste of money"
81,1,"Bed quality
And bed quality cell by flipkart"
82,1,Too many times apps get crashed...what's app is always having problem in this phone..don't buy..
83,1,Not good
