index,ratings,reviews
1,1,Worst experience with this .......I hate flipkart for this .....
2,1,"I've bought this phone for my mom, some features are not working. Front camera not working through direct jio calling and a big problem is of phone lagging. Please do not waste your money for this product."
3,1,Phone hanging problem and very slow performance.. look is good camera good ..
4,1,Waste of money we used only one week display comes black and return time also completed
5,1,Worst product no replacement pls don't buy this useless phone
6,1,"Speaker sound low
Ring turn sound low
Wifi network speed low"
7,1,Phone hanging problem
8,1,"Don't buy worst purchase
Speaker not working properly"
9,1,Front camera is very bad
10,1,Dont buy this phone it has a network issue as well phone touch is very bad.
11,1,Very bad camera
12,1,Worst experience ever with Flipkart.....from today Flipkart will lost a plus member
13,1,Camera quality is blur... Yellow colour background... Waste mobile
14,1,"The product have lots off issue. i will recommend everyone not to buy this product as the price is low. it has call connectivity issue, touch issue, very slow performing. very much disheartened by the order. just wasting money."
15,1,Worth of money
16,1,Very bad attitude from flipkart...i received damaged product and I'm requested for replacement in correct time but my request for replacement is also rejected. I lost my money...
17,1,Not good product not purchased
18,1,My suggestion don't buy
19,1,"Facing a lot of disturbances during voice calls
Its only been a week and the speed has started to slow up."
20,1,Worst mobile. Failure model. It doesn't serve its basic purpose. There is problem in receiving calls in this model.
21,1,Bad mobile from realme again
22,1,"Very bad product.
dont buy real me products"
23,1,"Worst mobile.
Call quality is very very very very worst"
24,1,Camera not better
25,1,Not god
26,1,Very bad performance.
27,1,Sim card is not working
28,1,"Signal problem, sensor motion problems .. performance also poor.. worst mobile"
29,1,Don’t buy it’s too slow
30,1,3rd Class Realme Phones... Very cheap
31,1,Very bad
32,1,"Very bad product , don't buy ,"
33,1,Bad product
34,1,Eny one person call sound is bad! connection is wrong! Call ringing another person ring sound is very bad.....
35,1,"Wast phone i have ever seen, I purchase this phone just 10 day before and it's working right now, there is no replacement available on this phone, so be Aware and do not by realme C11"
36,1,Touch screen is not good
37,1,Cross cutting on specifications that is ok but phone os was vey bad no app lock no widgets and so many problems in software
38,1,After using only 10 days the mother bord was damage unhappy with the experience
39,1,"The display of the phone has been turned off within 14 days
Very bad product"
40,1,Not bad
41,1,Camera very bad
42,1,"Realness C11 is by far the worst phone I have used. It hangs every second, every minute,every hour, everyday. In short the phone sucks. Please don't buy it ever."
43,1,Fully heated and display shivering issue
44,1,Very bad and durty
45,1,Poor quality
46,1,Very bad product
47,1,Ola uber app not working as well as not taking up to date
48,1,There is no sound clarity and camera also waste of my money
49,1,Very bad
50,1,"It was damaged, do not purchase this phone"
51,1,Speaker sound very poor
52,1,Camera quality bad west of money
53,1,"Worst mobile,, waste of money.. don't buy"
54,1,Worst mobile
55,1,"Bad customer service
Charging problem
I will never ord"
56,1,Bad mobile
57,1,Battery is draining very fast after only 10 days
58,1,defective product
59,1,Mobel hanck to baterabackap
60,1,please do not buy this from fliplart they were coudn't ad cover
61,1,Not recommend
62,1,I don't like this product.
63,1,Ok
64,1,Not satisfied
65,1,Bad product
66,1,Sound not working
67,1,Very bad camera and video quality
68,1,Waste of money
69,1,"Customer care support was very bad and irresponsible they are not care about their customers
Very very bad experience not value for money don't buy this mobile don't waste your money."
70,1,It is a nice phone in look. After 15 days of use there is network connectivity problem. In display there is full network but when someone tried to call it may shown out of coverage.
71,1,Very bad
72,1,I can't find the invoice very bad
73,1,Sound is not clear.. can't hear anything properly on call
74,1,Waste of money
75,1,5000 betarry no berry tension
76,1,Do not buy this product .there is no return policy .not worth for money
77,1,I don't like this phone
78,1,Very bad phone this phone is like a 3G phone
79,1,Pathetic product. Any installed additional app doesn't work at all. With 2 gb Ram atleast few/minimum apps should work. What's the use of buying smartphone when you can't install any apps. Pleas avoid buying
80,1,Right for the price.
81,1,Good
82,1,Don't waste your money
83,1,Average smartphone. I don't like this smartphone.
84,1,Worst mobile ever.
85,1,Worst
86,1,Used only one week now switched off automatically and worst experience for me
87,1,hang hang and hang
88,1,This mobile I don't like that..
89,1,realme UI go version is not up to the mark
