index,ratings,reviews
1,1,"Utterly disappointed...I was excited by seeing the battery is 6000 mah and camera 50 mp but actually it's below average performance and it takes very long time to get charged fully and if we Google any website it's not opening, really it's nightmare for me, I feel like the company is cheating by giving wrong features"
2,1,"Display quality is very bad
This mobile is displayed over surfness ."
3,1,This phone camera is not a good quality 😔😔
4,1,"The worst product narzo could make, overheating, lagging and what not. over and above this, pathetic support from flipkart. just calling daily and rejecting replacement daily. Now the return period is over and i am stuck with this useless hot brick perhaps can be used for ironing my clothes."
5,1,I'm really disappointed with camera performance it's not 50 megapixel camera it's like old VGI or 1.3 camera worst product..
6,1,Camra quality is not good
7,1,Touch response is poor and camera quality also poor
8,1,Selfie camera is very bad
9,1,Phone is good but Don't buy the same through flipkart. They are just claiming false information provided by them on their platform. Please don't buy through flipkart else you will be cheated and will regret the same later
10,1,"Very low buffering speed
Poor performance
Low speaker volume
Don't buy this phone.
I regret within minutes after buying this phone."
11,1,"Worst Mobile
I am taken worst photos in this camera
I am not see within half hour this mobile because mind is distributed and eyes are too disturbed. Battery performance is good.
Battery charging is too much time
I am requesting to other members please don't by this mobile"
12,1,"Not Expected For Realme, This Mobile Slow Work.. Not Perfect.. Camera Bad Quality.. Some Time Hang out ..Better Going Other Mobile Or Other Brand."
13,1,"I am really very disappointed, I have exchanged my redmi note 7 pro, it was really a suburb mobile. Realme narzi 50a is very disappointing phone, No good camera , no good battery backup, nothing. First time bought Realme phone, I will not suggest anyone in future."
14,1,Very bad product camera is very poor
15,1,"Camera very bad
Spoil money realme mobile very bad camera quality
Flipkart selling low quality products"
16,1,Camera clarity is very poor.
17,1,"This mobile is very bad
Totally waste of money"
18,1,"Don't buy this phone for camera,Camera is not 50 MP, camera performance is worst
Don't buy this mobile pls for camera is very bad"
19,1,Bad
20,1,"Mobile camera is very low category, don't purchase it."
21,1,"I was deceived by specs..camera is very very poor, performance is laggy...screen glitches in transitions...not a single pro found in this mobile...it must cost around 8500 for its specs.very thick, not at all handy heavy weight...realme 8i is far better atleast in looks(I ordered both for my relatives)..no back case provided in the box."
