index,ratings,reviews
1,1,"Samsung f22 is not good work my fone not work sim card , all time out of coverg , i have change sim card but not short out problem , and now toch is not work many time , going to switch of side 3buttan and start after work toch"
2,1,"Camera quality is not good enough at this this price range... Specially selfie...
Sound quality is good...
You can't play Free fire easily without good tempered glass..."
3,1,"Always is good but in This mobile have no Secure folder.
, and not won applications for lock any app . And Have no Data uses notifications."
4,1,Wrost product.chaina product is so much better from Samsung. Don't West your money. The display is very poor. Mi 9i is far better from Samsung f22. Network issue. maximum time is not reachable in the day. Phone is very slow.
5,1,"Average camera quality
Battery performance is not like 6000MAH
Screen quality is low as like microax
Secure folder not supported
Samsung Applock not supported
Call recorder option is missing

Overall mobile is not much better so go to another option..."
6,1,Sim 1 has no network..
7,1,Hated this phone ... Processor is not good and always having the network issue.
8,1,Not good phone. Mic is not working and flipkart is not responding us.
9,1,Moderate phone..Not as per price.
10,1,"This mobile technical problem
I am not satisfied
Very baad flipkart service"
11,1,"I have bought the phone on 15th july and after few days touch was responding properly and now it has stopped working within one month. It is that samsumg which gave us better product in compare to others. Due to be in competition started cost cutting and give worst product to their customers.
I request samsung personnel to replace my device asap"
12,1,"Network not working properly .
Bad connectivity.
Call income issues and net issues too.
Some software problem aloso...
Overall disgusting bad ecpreance and this is my 1st and last samsung product....."
13,1,At charging time phone heating.
14,1,Very bad not working
15,1,Bad product
16,1,"Bad performance for Camera
Don't take any sumsang phone
Other phone is use"
17,1,"No back cover and screen gaurd film, scratches on the screen in few days, due to lockdown no accessories available in open market"
18,1,Nice Budget phone heavy weight look not good
19,1,They sent a cheap used product..samsung products are not like before..buy only high end products.
20,1,Signal issusu
21,1,Poor camera
22,1,Camra Quality is bad😡😡
23,1,"Don't buy samsung phones
Phones strucked,and getting off
Waste of money"
24,1,Looking very bad and front camera is also poor quality.
25,1,"Worst...........
Don't buy"
26,1,I purchase because of good camera review. But camera is worst. Camera lovers plz don't buy this mobile.
27,1,Very bad experience
28,1,"I am writing this review after using a month. Camera quality is good as per this range. Both front camera and back camera performs well. Fingerprint sensor is not up to the mark. I have already used J8 of Samsung which was better as compared to f22 for fingerprint. Battery back up is decent. It will provide a full day battery back up if you do web surfing. I am not a pubg or other game user. So I can't tell about how it works when u play games. Display is good but touch screen is not that go...
READ MORE"
29,1,Wrost product
30,1,Mobile heat problem
31,1,Very bad display and show the dot in display
32,1,wastage of money
33,1,Not satisfied in this Samsung Galaxy F22 mobile
34,1,Very Poor Camera Quality and heating issue is there. Don't but products by seeing only one review in online. Worst camera quality.
35,1,Worst product
36,1,Most disgusting app..never buy anything from here..their service is the worst I had seen ever..
37,1,Worst at all
38,1,Don't buy it. Worst phone I ever seen
39,1,"Mobile touch is not working within 1month,
Even used for less usage.
Camera is worst for this price range."
40,1,Hanging problem
41,1,Handset heating problem & camera quality is very poor
42,1,Network capturing very poor
43,1,"Got worst quality. Camera quality is very bad, I am not convinced if the product is originally Samsung company manufactured. Pretty sure k I have got a duplicate product. Totally against expectations. Disappointed. Touch censor also very poor, not working properly. If you searching a good quality camera don't buy this totally worthless. Badluck is that, I have missed my replacement period.
A picture shoot by this mob is inserted for ready ref."
44,1,"Display broken after 1st drop on floor,and now samsung is claimed Rs. 5700.00 to repairing the display. Quality of display is very poor ."
45,1,Camera is not good
46,1,"Calling is not good
Any one calling me call will not connect in 1st time
And camera is not also good"
47,1,"Have issues in speaker nd mic, display quality doesn't gud, many times can't able to disconnect the call also, it's hanging"
48,1,Performance is slow. Doesnt suggest.
49,1,"bad sound, bad performance
but screen and camera are good"
50,1,Bad Display...Bad Speaker...Bad Camera...Overall Not Recommended...
51,1,I writing review after using 3 months. Samsung phones are not good this is my 2 nd samsung phone which has stopped working. In 3 three months has stopped working.not able touch on screen. Plz don't buy.
52,1,"Worst product
Worst seller
Worst flipkart"
53,1,"MONEY WASTED
Getting incoming call issue everyday
With full network it is saying either phone is switched off or out of network coverage area"
54,1,"Don't buy this phone west money
Network problem
And after 1 month display not working"
55,1,Charging takes long hours waste of money dont buy
56,1,Display quality is very bad
57,1,"One of the west mobile samsung really vary bad performance bad camera bad processor hang mobile
In just 4 application and"
58,1,"Camera quality is very poor.flikart won't replaced this item.speaker noise problem.wrost phone don't buy
Speaker worst. I uploaded same image different color over saturation level"
59,1,Small screen
60,1,"very slow and keeps hanging.If whatsup vedios and xoom videos are very slow and take long buffering.
I will advice to go for A series or M series of samsung.
The F series is not up to the mark .
Facing lot of issues. and hanges a lot"
61,1,"Display not working after 2 months..
Network issue"
62,1,Waist off money
63,1,Bkbass phone i am not happy
64,1,Worst
65,1,Disappointed
66,1,Heavy Hanging problem
67,1,Not expected from Samsung worst design worst camera quality
68,1,"Always say no is not reachable, out of network.
Very bad experience."
69,1,Pathetic phone in just 7 days it's battery life has decreased
70,1,Poor camera quality
71,1,Dont buy
72,1,"Diplay showing x ray mode during capture photographs and play vidio.Totall waste of money.
Flipkart technitian not visit to resolve issues."
73,1,Network problem
74,1,"I'm not happy.

Less than a month later, the speaker went bad ."
75,1,Wrost display wrost camera wrost music sound
76,1,Bad product
77,1,"Absolutely trash , the system ui crashed when booting up performance is poor 90fps doesn't feel that smooth camera is trash too much saturation and poor quality infact i am not satisfied with the packaging the phone didn't feel new there were scratches near the volume button"
78,1,Many problems in this phone.
79,1,Worest phone.worest flipkart.dont buy this phone in flipkart
80,1,"After 23 days display touch not working , my first experience with samsung mobile is very bad mi is better than samsung mobile"
81,1,Network problem... showing false Network
82,1,Touch screen not working properly within 10 days. Already Return policy expired. Need to replace the item . Pls look into it and forward this to samsung.
83,1,Don't buy agr network problem hai apke location me
84,1,"SAMSUNG GALAXY F22 IS THE WORST CELL. I write a review after 1 month of usage.
The performance was very bad. They not even go incoming and outgoing calls. And the micphone was not working.
MY Sincere advice is to not buy samsung mobile"
85,1,It's phone is very bad west maney
86,1,Very bad
87,1,"within four month it has become dead, very horrible experience."
88,1,Very bad experience I bought this on 25/10/21 and sim is not working in slot 1 and then I put it in slot 2 and after 1 week it's not working in slot 2 also .kindly replace my phone immediately
89,1,Bad working
90,1,To much slow after 3 months
91,1,"Mobile phone is good but .
My mobile day 20 day after my mobile phone speaker is brust it is not well I play sound the sound is not good."
92,1,hang issue 10 days use
93,1,Worst phone ever…i suggest you to buy samsung guru but don’t buy f22
94,1,"Very bad display quality,"
95,1,"Not impressed at all, I just hope it's not fake. Redmi is far more impressive at price range."
96,1,Network issue .....
97,1,Overpriced phone
98,1,Too heavy phone
99,1,Screen size was small
100,1,It's hanging always
101,1,Bad
102,1,"Keyboard not showing properly
Slow procecer
Gallery pic slowly showing"
103,1,"Cons are 720p display, average camera and eMMC storage not UFS, otherwise good. Let's hope it will not hang later on after some time."
104,1,"Better buy other brand phones. Not happy with the camera, display and performance of this phone."
105,1,Very poor phone 📱
106,1,"Please don't buy this phone Please go to other phone m not satisfied,charging longer hours,"
107,1,"Not good samsung
Camera of 16 mp of oppo A 53 is better than samsung camera of 48 mp"
108,1,I have bad experience with Flipkart and their tech team. I do not recommend to buy any product from this online app flipkart in future due to handset malfunction and told me blanku is the correct app hence heating problem and sometimes display not working properly.
109,1,Very bad network problem with 4G network
110,1,Mobile is hanging problem but technician say it is all right no hanging problem I show the hanging problem video but not replaced Mobile phone
111,1,Minor hanging problem
112,1,"It is absolutely loot of money and frod. Camera quality is very poor. Photo and Display quality is overwhelmingly bad. Prpegenda is manufactured for this phone quality, don't come into trap of it."
113,1,Bad phone......always show that the phone is out of network.....too much issues
114,1,"Pathetic service. This phone came with mild scratches which can barely be seen.
Now I am unable to replace this product.
Do not buy these mobiles.
I bought this by replacing one better mobile than this.
Not worth buying."
115,1,Signal issue very poor signal receive
116,1,just after 3 months of use speaker is not working and long beep noise is coming from it.
117,1,Battery gets over heated in 15-20 mins of normal usage in 90Hz refresh
118,1,Not a good display and camera also not that soo expected
119,1,Its not much good because it gets heated while charging.
120,1,Very slow never purchase
121,1,VERY BAD PRODUCT AND ONCE PRICE ORDER NOT GIVE RETURN POLICY VERY VERY VERY BAD
122,1,Very very bad phone. Because the set is not accepting incoming call. Always showing out of network. No problem for outgoing call. Waste of money. After using only 12 days I am writing this review. This reputed company should careful about such defects.
123,1,Worst camera in this price range
124,1,Using this phone from last 4 days and it is hanged although I have not yet played games and not using it properly.
125,1,Display is very bad and sound also
126,1,"There is a incoming call issue, when calling always out of network"
127,1,Very bad
128,1,Over heating mobile.please don't buy. My money is waste.Samsung mobile is not development.total waste product.I have return this product.
129,1,Worst product
130,1,"Heating issue found while charging and using also.
It was unexpected too much heater rhan usual mobile phones.
Even charger is not fast then why is it heating so much?"
131,1,Poor display
132,1,Battary is lost
133,1,"Don't buy this phone, within a month motherboard will changed, but facing same problem"
134,1,It should be better
135,1,Worst Camara don't buy this phone I'm very unsatisfied
136,1,Mobile hangs frequently. Refresh rate of mobile is very low. I trusted brand name of Samsung but Bad purchase. Anybody please suggest to improve performance of phone.
137,1,Good
138,1,"Warranty is not valid
Mobile not good working"
139,1,Good mobile.
140,1,The mobile is not working.
141,1,Very bad product only camera and battery is good and everything useless. After 7 days of delivery my phone display was displaced automatically
142,1,"With flash the camera is worst.
I observed it a week later
What I have to do now??"
143,1,Display is break down
144,1,Bad product.
145,1,"Selfie camera to bad , images so wrose।"
146,1,"Why flipkart is sharing clients contact details to third party, many calls from fraudulent as they are calling from brands and stuff and wasting time.
Someone is calling and saying that he is from brand samsung and so on and we got to know that you recently bought samsung phone through Flipkart,  Me Being a Customer would like to Ask you Why flipkart is sharing clients personal contact details to third party,? Is Your technical team not Good Enough to handle/ secure customer details?"
147,1,"Very bad phone poor performance, camera is vary bad"
148,1,Poor 📸🤳
149,1,I don't like this mobile phone
150,1,The product is not too good
151,1,It look like pure Chinese cheap models... i can't feel samsung brand touch
152,1,"Believe me Display is not clear. It show me small pixel and not hd display. Camera performance also not good. worst quality display.
I thing in this money range it deserve better display.
So please u can by its alternative M32 as it is super amoled plus full hd display."
153,1,Not bad
154,1,"Don't buy this product this is one of worst mobile I have never and ever seen..if you go with vivo and redmi,oppo those are getting more quality in camera mad performance"
155,1,Don't but it camera is too much poor.
156,1,Worst product
157,1,Rough camera and software
158,1,Worst mobile i had seen mobile size is very small width is very very small Very bad mobile dont buy
159,1,Very bad product
160,1,Not real camra. 48 mp
161,1,"Phone is frequently restarting. Phone is switched on only when plugged into charger. After security patch update, it is running ok for 4 days. But again now problem repeats. What to do?"
162,1,Bad
163,1,Bad mobile
164,1,Mobile is tooo slow
165,1,Network problem very Bad
166,1,Have a bad display quality
167,1,Dumb pls not buy this
168,1,Very bad mobile
169,1,"I have got 10 watt adapter in stead of 18 watt adapter, which is written in the box."
170,1,Tounch not working 20 day used but now problem
171,1,Poor camera quality
172,1,Modal is not completad
173,1,Worst product...flipkart is now selling worst product....
174,1,Worst mobile
175,1,dont buy this product.....after 20 days screen was not working
176,1,Stopped working after 2 weeks.
177,1,Mobile become out of order two days after purchasing.
178,1,"I am getting the problem from the very first day
On what basis my replacement is rejected"
179,1,Bad experience because charger is not charging within 10 days
180,1,Very bad performance too much hanging
181,1,Samsung galaxy F22 is amissing 📱
182,1,Processor very very slow very very very very very worst. Junk unwanted app waste of memory. Totaly waste of mobile
183,1,Totally bad product hang problem after 9 days and hitting problem 1st day to connect to charging port almost heated 😬😤
184,1,"Waste of money, samsung please stop fooling customer with your budget smartphones. The display is pathetic, the network is too slow, call sound is too low. Just black box with heavy battery.

Guys please don't buy samsung phone which is below 30000 atleast.

I am selling it on OLX and going to buy Realme or oppo"
185,1,Bad exchange value
186,1,"Back of the phone is rising up , just after few days , worst phone !!!"
187,1,Initial I was excited later using for 2 to 3 hours was dissoppointed
188,1,Not a good product as explained during marketing
189,1,"Very poor product from Samsung never expected.
Old age phone cameras are better than this. And Flipkart also never solves issues. Just for name shake customer care agents. No proper action. 1 star because there is is no 0 or negative ratings."
190,1,"Display is not a super amoled
Normal Display"
191,1,Poor quality of both camera
192,1,"Do not buy this phone , camera is one of the worst camera performanc. And dont buy from flipkart. Flipkart support team will never help you instead will make you frustrate"
193,1,"While playing suddenly sound going to zero, again we have to press sound increase button we are facing this issue continuesly kindly help us"
194,1,"Very slow.......hangs every time
Don't go for it"
195,1,F12 better than f22
196,1,Worst Touch screen
197,1,"Camera is not good, If you are looking a good camera phone, pls not buy this,"
198,1,"After using ten days....

Don't buy this product, you may choose better than Samsung mobile. It's camera quality very bad, network is running slow in this device. Charger look like cheap quality product.

Don't buy,
Don't buy."
199,1,It is a brilliant mind blowing phone
200,1,Useless display quality
